type	identifier	digest	signature	sig_method	tlog_timestamp	created_at
asset	v0.0.1/checksums.txt	sha256:9764b1d62a7c1e861fedef94340f9e28f23027ba2e8974ef90022f992d032537	unsigned			2022-12-25T10:51:03Z
asset	v0.0.1/checksums.txt.pem	sha256:58f2fe36633c2d72a8db1d7c3240580eb09749a918c610bd2c558968e9ceca08	unsigned			2022-12-25T10:51:03Z
asset	v0.0.1/checksums.txt.sig	sha256:18860bc416987bc154ebfe74464ca680121610726cbeedebd158d3a9242009ef	unsigned			2022-12-25T10:51:03Z
asset	v0.0.1/k8s-node-collector_linux_ARM64.tar.gz	sha256:6a99d65a44dd09ac5a095a33744271c54b668a68b68cdd0daaba6f14c5903787	unsigned			2022-12-25T10:51:03Z
asset	v0.0.1/k8s-node-collector_linux_ARM64.tar.gz.pem	sha256:79044335f8b84062d541ef96bcd1c26b7d36e5e6b9704a1b60eede79bfe0c865	unsigned			2022-12-25T10:51:03Z
asset	v0.0.1/k8s-node-collector_linux_ARM64.tar.gz.sig	sha256:14557af09898766da2b7dcf7d383a6ba71c0dd2e10e5da8b419396cd2dd33632	unsigned			2022-12-25T10:51:03Z
asset	v0.0.1/k8s-node-collector_linux_x86_64.tar.gz	sha256:5e5b24b9c042166bb392a68bf7352ed761f50af086558b34e7738fd91e0e16a7	unsigned			2022-12-25T10:51:03Z
asset	v0.0.1/k8s-node-collector_linux_x86_64.tar.gz.pem	sha256:0ffd729c03cea7a58aa555d00c91a90a26c9b1719756fd2b8f73225cc269b465	unsigned			2022-12-25T10:51:03Z
asset	v0.0.1/k8s-node-collector_linux_x86_64.tar.gz.sig	sha256:fefdb613d0a0acb7e76c2b53cc7593a27aa6a4449f9afb8f50febccf6371d372	unsigned			2022-12-25T10:51:03Z
asset	v0.0.2/checksums.txt	sha256:375ef2165aaaf2c4900aa862ed6b0dff092fcf95f10f663cb0540876dfcecb79	unsigned			2022-12-27T07:46:35Z
asset	v0.0.2/checksums.txt.pem	sha256:e9d801ba66f90843ff560cdd367fb10bcf63a4e09302c405a863987340db5012	unsigned			2022-12-27T07:46:35Z
asset	v0.0.2/checksums.txt.sig	sha256:094fb41148de78b20495fb9750691a85dca6725243d06987176ddbfde6164d82	unsigned			2022-12-27T07:46:35Z
asset	v0.0.2/k8s-node-collector_linux_ARM64.tar.gz	sha256:15a446d56887571d57182ab9eca0b41d93146e2d6ac24c8f420e8d851ce87f95	unsigned			2022-12-27T07:46:35Z
asset	v0.0.2/k8s-node-collector_linux_ARM64.tar.gz.pem	sha256:47576109c928388023d14e8d031a91b36ff26e481014968d2f36ce9bd3e8bf8c	unsigned			2022-12-27T07:46:35Z
asset	v0.0.2/k8s-node-collector_linux_ARM64.tar.gz.sig	sha256:53da95a7b5bd505f2dc2095e8413f83219a67a2a6d2689f9662b02f294a392bf	unsigned			2022-12-27T07:46:35Z
asset	v0.0.2/k8s-node-collector_linux_x86_64.tar.gz	sha256:7069850cd5de772cf09bd702cd2ac3dc6f9eb6ce5cdee98f95fad8f54cc25428	unsigned			2022-12-27T07:46:35Z
asset	v0.0.2/k8s-node-collector_linux_x86_64.tar.gz.pem	sha256:1b790a13057d3ff993f953adcff21fa40b154ae69541f603fa61591c581c8a0a	unsigned			2022-12-27T07:46:35Z
asset	v0.0.2/k8s-node-collector_linux_x86_64.tar.gz.sig	sha256:742b06c9f17162c01d2d3dd7b9f7116f7d004cb1d7f00afea67edd7715c6db67	unsigned			2022-12-27T07:46:35Z
asset	v0.0.3/checksums.txt	sha256:dee4211d5007986c48c349e3c9131abfa2c0361518f96fadaa2ed0c6038d4388	unsigned			2023-01-04T09:44:35Z
asset	v0.0.3/checksums.txt.pem	sha256:210e4009ee70a1da7a3ee89a379d41c9a2594414dfc91a4856f3ce3a49a77e60	unsigned			2023-01-04T09:44:35Z
asset	v0.0.3/checksums.txt.sig	sha256:de743f79d30b62a1adcc61fd18b1cfd681a12df636a9ef1a5bba41d7f0e8d235	unsigned			2023-01-04T09:44:35Z
asset	v0.0.3/k8s-node-collector_linux_ARM64.tar.gz	sha256:308d8f101bb9a9529b51bb28018ce818c3cf8cc0f7ba43b5b66be00c3a3f23f0	unsigned			2023-01-04T09:44:35Z
asset	v0.0.3/k8s-node-collector_linux_ARM64.tar.gz.pem	sha256:2b9459ce9cf6f2f21f7f47f03b3560d7006ef6497d0138ffeb540f751a9932a1	unsigned			2023-01-04T09:44:35Z
asset	v0.0.3/k8s-node-collector_linux_ARM64.tar.gz.sig	sha256:9eb8a80a1d484ed701acd5bc0d7d75836980774e7bcfe74e2c2c988575e4367c	unsigned			2023-01-04T09:44:35Z
asset	v0.0.3/k8s-node-collector_linux_x86_64.tar.gz	sha256:168437784e2015dc0debde9663c8c04905a72456858254162e8c98de1c5784b3	unsigned			2023-01-04T09:44:35Z
asset	v0.0.3/k8s-node-collector_linux_x86_64.tar.gz.pem	sha256:86aff415f1c3f94af46317dd396f8b20041abba970e4a934a41871a4dab7690a	unsigned			2023-01-04T09:44:35Z
asset	v0.0.3/k8s-node-collector_linux_x86_64.tar.gz.sig	sha256:e1f18b7265ab43d454dc71da0cb59f6022a0d591d815e23c8fee8a2b76e6c98f	unsigned			2023-01-04T09:44:35Z
asset	v0.0.4/checksums.txt	sha256:0ebb7e94eb77d5a4640ac6be05c0e9bcbc1652a413f9829548be5158e440d54d	unsigned			2023-01-13T14:48:20Z
asset	v0.0.4/checksums.txt.pem	sha256:380e9bb0048687bd3acbec13cd0be4eaec87865eb251aa4d3e6b7ac741fe1a63	unsigned			2023-01-13T14:48:20Z
asset	v0.0.4/checksums.txt.sig	sha256:f759a61dc71aa07028edfc827cf19c9d781e64259827eab4e3ee5542ee394c5a	unsigned			2023-01-13T14:48:20Z
asset	v0.0.4/k8s-node-collector_linux_ARM64.tar.gz	sha256:4d626b606baba81bf4e1506f113e7d5ebb0115d12265c1e2f46f435d98d659ad	unsigned			2023-01-13T14:48:20Z
asset	v0.0.4/k8s-node-collector_linux_ARM64.tar.gz.pem	sha256:9bbd1b2a5c30da3e7f3b1de782e1f7ca0f0ed0be0549e19e1ed4f466b8122e2a	unsigned			2023-01-13T14:48:20Z
asset	v0.0.4/k8s-node-collector_linux_ARM64.tar.gz.sig	sha256:2265708b8377b38d224548035983e12f708cfe291c972b891601e7f194cf13e7	unsigned			2023-01-13T14:48:20Z
asset	v0.0.4/k8s-node-collector_linux_x86_64.tar.gz	sha256:b86e4cdb2298f8c84d9ad91c879725c392bac036142fa85812414768551f6ab3	unsigned			2023-01-13T14:48:20Z
asset	v0.0.4/k8s-node-collector_linux_x86_64.tar.gz.pem	sha256:dc1c68314aafe87320cf087ed2d06bcdcc1dca44a6db752af957f7f4e75e6b78	unsigned			2023-01-13T14:48:20Z
