type	identifier	digest	signature	sig_method	tlog_timestamp	created_at
asset	v0.0.11/kube-bench_0.0.11_checksums.txt	sha256:7342ff955053f2f24681e77e620dd431b848a88c953f6f963d31a0876732e381	unsigned			2018-01-30T19:36:31Z
asset	v0.0.11/kube-bench_0.0.11_darwin_amd64.tar.gz	sha256:272d6a21e5843e0ca3376276c8f1ff43381acd53111080dcc75ca2fa29fb7628	unsigned			2018-01-30T19:36:31Z
asset	v0.0.11/kube-bench_0.0.11_linux_amd64.deb	sha256:e52201bd49520863aa335176fcfd6ac9105cc7854c0fbe603c1a3f9a874a5ea7	unsigned			2018-01-30T19:36:31Z
asset	v0.0.11/kube-bench_0.0.11_linux_amd64.rpm	sha256:61a4e06d4f114bbea4f511b2a294820e60d499da66501113545f25d1b7c2ebd4	unsigned			2018-01-30T19:36:31Z
asset	v0.0.11/kube-bench_0.0.11_linux_amd64.tar.gz	sha256:505d84c2e203ec370f3ee92d9d7e7fb1bbc107026c0041555e5f8746ae1d55d8	unsigned			2018-01-30T19:36:31Z
asset	v0.0.14/kube-bench_0.0.14_checksums.txt	sha256:5853d364be3d2a7cb581efc8136eea101c3908ddbae9e827e49ae44d7a065e75	unsigned			2018-04-04T14:04:16Z
asset	v0.0.14/kube-bench_0.0.14_darwin_amd64.tar.gz	sha256:30c2e593f777617017cef8965ac13b9022035c5448edf844bcca3919393940e6	unsigned			2018-04-04T14:04:16Z
asset	v0.0.14/kube-bench_0.0.14_linux_amd64.deb	sha256:5ead80e2594887b94615a8cbcdc4182fc60cce7b661c756f9c03a7891d381877	unsigned			2018-04-04T14:04:16Z
asset	v0.0.14/kube-bench_0.0.14_linux_amd64.rpm	sha256:fb4e0a6e4994446d444b73cf3f3e85bef5e6bb19ffbc37893708473d8aa02591	unsigned			2018-04-04T14:04:16Z
asset	v0.0.14/kube-bench_0.0.14_linux_amd64.tar.gz	sha256:db36c379d27f1437eca4644d8940789568aa2ae0e9c1886ba9fd84f59622d214	unsigned			2018-04-04T14:04:16Z
asset	v0.0.15/kube-bench_0.0.15_checksums.txt	sha256:48f275ba6ca267e8f270df09b413843f6a76950ff51094f6ba8205a93783abeb	unsigned			2018-05-11T15:22:36Z
asset	v0.0.15/kube-bench_0.0.15_darwin_amd64.tar.gz	sha256:a3a182206e74acb002eebfa75d610dec331338c76eb597908d928a2d68e88633	unsigned			2018-05-11T15:22:36Z
asset	v0.0.15/kube-bench_0.0.15_linux_amd64.deb	sha256:6ed63d18247faf1fc66b2c3f8aa00e8a1d3ab683c2feff32cf064ed9f30d712f	unsigned			2018-05-11T15:22:36Z
asset	v0.0.15/kube-bench_0.0.15_linux_amd64.rpm	sha256:6b8f5c774f71d6e0980844862ee4bf08f7de1709725b086b271d65587899a3e8	unsigned			2018-05-11T15:22:36Z
asset	v0.0.15/kube-bench_0.0.15_linux_amd64.tar.gz	sha256:656da283c9fac72e31c168d6e436a46d675b340ff3e6a545c13055cbadcd182d	unsigned			2018-05-11T15:22:36Z
asset	v0.0.16/kube-bench_0.0.16_checksums.txt	sha256:37b829d1e280746cf04152067ffe2b4cdf1ecb057cb1f5e1a78d6c4cffc53aee	unsigned			2018-05-14T11:24:34Z
asset	v0.0.16/kube-bench_0.0.16_darwin_amd64.tar.gz	sha256:722a8a3c25c4eebc7b375dcdb1dc4574a9221fe124b7a4492b74c81c5b37823c	unsigned			2018-05-14T11:24:34Z
asset	v0.0.16/kube-bench_0.0.16_linux_amd64.deb	sha256:58a0066a49e1e90d3666e685d132aa055577e4bc6898f8d702fe8277d717c632	unsigned			2018-05-14T11:24:34Z
asset	v0.0.16/kube-bench_0.0.16_linux_amd64.rpm	sha256:46b6f6f47440548ea761aaec4f412dc220e8930f9e2c9449c35bd6356d244616	unsigned			2018-05-14T11:24:34Z
asset	v0.0.16/kube-bench_0.0.16_linux_amd64.tar.gz	sha256:5b58ff98fee28cad9cf91530f21d4738d2fd14d21b70f06b940d898b220d84f6	unsigned			2018-05-14T11:24:34Z
asset	v0.0.17/kube-bench_0.0.17_checksums.txt	sha256:0c0630eddd3dd7d6c3439b06db4771ec94145184182b7596749f3c5d68dba3e3	unsigned			2018-06-07T12:36:23Z
