type	identifier	digest	signature	sig_method	tlog_timestamp	created_at
asset	v0.4.0/checksums.txt	sha256:398793df4167d6d4b5483b7ac0e5bb29307d0d04929af48920cb37ea41090070	unsigned			2020-11-19T16:15:27Z
asset	v0.4.0/kube-hunter	sha256:bb3a44b99a1367aeb5ab16d84579ceb316f75b1725bb85a0b18d57d4a8aed964	unsigned			2020-11-19T16:15:27Z
asset	v0.4.0/kube-hunter.exe	sha256:7426184a73aa5c580adc3a475c13faf4ad56aadc5d3bb90089333cae74b090e8	unsigned			2020-11-19T16:15:27Z
asset	v0.4.1/kube-hunter-linux-x86_64-refs.tags.v0.4.1	sha256:ecd31fea00a38b2ca6a24f1201df62617a06f1a75279237edca154bdb1473316	unsigned			2021-01-07T17:49:31Z
asset	v0.5.1/kube-hunter-linux-x86_64-refs.tags.v0.5.1	sha256:8c2b390d1d6ec713c8c98dede8bad9c4822b78584115e8519c1871b3c524a981	unsigned			2021-05-27T18:57:31Z
asset	v0.5.2/kube-hunter-linux-x86_64-refs.tags.v0.5.2	sha256:ba024ffe6b70ddb7ede42b12c224688cd82ac688e15a75a9c1f06ecc3e3fba8f	unsigned			2021-06-10T17:05:58Z
asset	v0.6.0/kube-hunter-linux-x86_64-refs.tags.v0.6.0	sha256:bf735a0e7c5984ff343b5aedc5fe8d79a667b23f215ec97a9979cf44a0edc507	unsigned			2021-07-22T12:59:55Z
asset	v0.6.1/kube-hunter-linux-x86_64-refs.tags.v0.6.1	sha256:cc5c976f281f191ee022160fde55f839a62a106002e5525690dab3d239eb7852	unsigned			2021-07-23T18:12:44Z
asset	v0.6.2/kube-hunter-linux-x86_64-refs.tags.v0.6.2	sha256:ecea8ef7d73de73d31bf7991e31e1815f608b471c45d9894378217781e49f1d5	unsigned			2021-10-16T14:28:59Z
asset	v0.6.3/kube-hunter-linux-x86_64-refs.tags.v0.6.3	sha256:b8a3a5e194115f5b1f6fe5639449d32202c4e1d664b93bf9c0e678ab61871f96	unsigned			2021-10-16T14:51:04Z
asset	v0.6.4/kube-hunter-linux-x86_64-refs.tags.v0.6.4	sha256:85902274942c331de314c051f3602cf5117f3a4126ac50f63bc209615ef8d29e	unsigned			2022-01-22T14:22:26Z
asset	v0.6.5/kube-hunter-linux-x86_64-refs.tags.v0.6.5	sha256:922489fa214e6d2b35dcf16def99343b2364576977607f9bb134cc1fd1f36030	unsigned			2022-01-28T16:56:38Z
asset	v0.6.6/kube-hunter-linux-x86_64-refs.tags.v0.6.6	sha256:b839173b5d49c65a4f5538697fde379c719413fc5c843f38c20e66b39aee920f	unsigned			2022-05-07T06:13:43Z
asset	v0.6.8/kube-hunter-linux-x86_64-refs.tags.v0.6.8	sha256:9d86c6ffdaceb42b0ed8cac97d864aa3b3a190ab152c44b2966e31bea4e5e952	unsigned			2022-05-18T11:07:11Z
image	docker.io/aquasec/kube-hunter:0.3.0	sha256:d12991c6adbbdbef2df441c49637a9ce81fceeb623ef5b1d6772708b9a22dc8b	unsigned			-
image	docker.io/aquasec/kube-hunter:0.3.1	sha256:2be6820bc1d7e0f57193a9a27d5a3e16b2fd93c53747b03ce8ca48c6fc323781	unsigned			-
image	docker.io/aquasec/kube-hunter:0.3.2	sha256:1db578a020e2e914654e633e8d24031c1db019389f0dbf686a636ff0c4fe9e66	unsigned			-
image	docker.io/aquasec/kube-hunter:0.4.0	sha256:552094008a7583525c1eb30da3a4733be26754d59904320b9a0736309ecc4aa3	unsigned			-
image	docker.io/aquasec/kube-hunter:0.4.1	sha256:065981ff43ac821c7cf6b742f152eab6b34920cff5d526631416bb5fad0502b0	unsigned			-
image	docker.io/aquasec/kube-hunter:0.5.0	sha256:339c112ebec60a81e1f795b41e26f1335ff36d4ac4e49824e693b506e1c64e84	unsigned			-
image	docker.io/aquasec/kube-hunter:0.5.2	sha256:a68be9cd40005edc44ba46768766c6e4b7baf6a6b668e480004f5dc3de55f1a1	unsigned			-
image	docker.io/aquasec/kube-hunter:0.6.0	sha256:23bcbbf8ab60710d6138b563ddfe27f5dfe8e3173a971930a2b51956ed280162	unsigned			-
image	docker.io/aquasec/kube-hunter:0.6.1	sha256:4641eade35e8877a857e2b63b93f1dfbc0a8b8e023b816b9ef59597fc491377a	unsigned			-
image	docker.io/aquasec/kube-hunter:0.6.2	sha256:7e9f1083856ce97408a05b12c12cf8805b3f0ec9b0f4d6d5863c23d52fcf291b	unsigned			-
image	docker.io/aquasec/kube-hunter:0.6.3	sha256:8c87530b174d1c63d6b9d349efd619c0a2d0407760c977986f16277f1dd0175e	unsigned			-
image	docker.io/aquasec/kube-hunter:0.6.4	sha256:782ad7c5651ac239f1539d14c24eed096fc1ccd534db05fb1a05d5b83850128d	unsigned			-
image	docker.io/aquasec/kube-hunter:0.6.5	sha256:da9c1010b51bd4c949b262f7a4fff349d8735e613f90aad107393e5abf1e4b4c	unsigned			-
image	docker.io/aquasec/kube-hunter:0.6.6	sha256:14810a536c17c8d8c4bfa996789a3e52c4ff7b1209c03e4a0770bb6d5140846c	unsigned			-
image	docker.io/aquasec/kube-hunter:0.6.7	sha256:3c68ee4939c5e694ed0e965928077a978ac51e1544cdfa584ab201fc6f10a233	unsigned			-
image	docker.io/aquasec/kube-hunter:0.6.8	sha256:e64fe49f059f513a09c772a8972172b2af6833d092c06cc311171d7135e4525a	unsigned			-
image	docker.io/aquasec/kube-hunter:100	sha256:72769acdb7148cb7384635ff5fe7b77530d93087b877e42433e309cd1cc34cc1	unsigned			-
