type	identifier	digest	signature	sig_method	tlog_timestamp	created_at
asset	634-all-dirs/tfsec-checkgen-darwin-amd64	sha256:578262e41b4d49afad2d66fe73bad36121d1b741d7813df95a24b6d925d9fcfc	unsigned			2021-02-27T14:41:28Z
asset	634-all-dirs/tfsec-checkgen-linux-amd64	sha256:73fd1ebc7e6ae6f2c1e9f9359fd6fb418ec020825831463c8099bb8db906d367	unsigned			2021-02-27T14:41:28Z
asset	634-all-dirs/tfsec-checkgen-windows-amd64.exe	sha256:a3cb0e487c8b89abffa5a3cd742a142d7c43be5b4c079093d7aa6475a431d76b	unsigned			2021-02-27T14:41:28Z
asset	634-all-dirs/tfsec-darwin-amd64	sha256:11c00f591da61643d10c504f60d46c59297dab107456148a7af51fb416d68466	unsigned			2021-02-27T14:41:28Z
asset	634-all-dirs/tfsec-linux-amd64	sha256:bf2e1894a451c5d7eaeb3c4bde3fe39461eeab7291119f591a72b5850e1794a7	unsigned			2021-02-27T14:41:28Z
asset	634-all-dirs/tfsec-windows-amd64.exe	sha256:3656c75b7f8a5018be49251b9fd1bb14d92b1c7662ce0a6cea11140e3c63b894	unsigned			2021-02-27T14:41:28Z
asset	v0.1.0/tfsec-darwin-amd64	sha256:1099c150f9b09a384215ee0d3207ad1b9a994ababdb456f00e9cd62f0f7f498f	unsigned			2019-03-05T09:11:42Z
asset	v0.1.0/tfsec-linux-amd64	sha256:7bf5b833da5394faba48c715e72a117f748c035b10a6d2f1cf2f5580e705e647	unsigned			2019-03-05T09:11:42Z
asset	v0.1.0/tfsec-windows-amd64.exe	sha256:2e0169b0d17080f328d6f3a13eca388834b1aaa393a1242db7af997f182d190c	unsigned			2019-03-05T09:11:42Z
asset	v0.1.1/tfsec-darwin-amd64	sha256:f369ba4f60d20c674256e6a08d1a5a6ab9a014c730f1f9ddd92db89180529cd4	unsigned			2019-03-05T09:37:53Z
