type	identifier	digest	signature	sig_method	tlog_timestamp	created_at
asset	v0.0.1/checksums.txt	sha256:ebd0a4fa79ad1f9daeff959b51b02b2d1b00a67415e462627d94082e8609b702	unsigned			2020-05-18T11:37:07Z
asset	v0.0.1/tracee.tar.gz	sha256:96b86da1aba411b97bab428b92775d9447325ef28361e27e04474f58b70abca1	unsigned			2020-05-18T11:37:07Z
asset	v0.0.2/checksums.txt	sha256:78aaf170a5f3c0369c90c3223bd537a112d3e97d24aed8f4bade31465fd9ad2f	unsigned			2020-07-23T12:29:14Z
asset	v0.0.2/tracee.tar.gz	sha256:1cb03817a1a1256bf9e2e4fe8b6b4ee8cc27cbb92fd0f23855ab0f23ef055082	unsigned			2020-07-23T12:29:14Z
asset	v0.0.3/checksums.txt	sha256:46da1ab03d97795a1296787858acf9a78b1977799fa435bc0e5885293198413a	unsigned			2020-08-05T16:28:02Z
asset	v0.0.3/tracee.tar.gz	sha256:d4fe6d05feea63074eeda701aed01ee3a4557d2a21f0cdb0d750f2fb7d92cf2b	unsigned			2020-08-05T16:28:02Z
asset	v0.1.0/checksums.txt	sha256:bbab668886868e7cfd289e50320bfbf241f3f68c6a71bfa86b91464aa05f2351	unsigned			2020-09-10T14:19:49Z
asset	v0.1.0/tracee.tar.gz	sha256:607e268fadcfd122ca402c86f45b3cf465d82895e70d206ea4082ed0a8d76826	unsigned			2020-09-10T14:19:49Z
asset	v0.10.0/checksum.v0.10.0.txt	sha256:c8fc7f103db13eab3982eb0287ef760137feb1f5728da0d9a90ae3ea69dc9891	unsigned			2022-12-16T01:36:37Z
asset	v0.10.0/tracee.v0.10.0.tar.gz	sha256:c47247c3d0a829c736fdc8f943906440b26a1d21b9febb95cb726d89e3e03b37	unsigned			2022-12-16T01:36:37Z
asset	v0.11.0/checksum.v0.11.0.txt	sha256:a00196a93effb796e1b8a2827d0878cb52e93bc3af0f02a150250eeb7a944ad7	unsigned			2023-01-31T14:04:38Z
asset	v0.11.0/tracee.v0.11.0.tar.gz	sha256:7b9ea0cb7ed2fc3dadea8850706b681f7e150822c03065a702d0ded2ae8756f6	unsigned			2023-01-31T14:04:38Z
asset	v0.11.1/checksum.v0.11.1.txt	sha256:a3a7a636a34f571dce1ccf3a0d4f969b1d8eff5db2098c31bce42816bf413f0d	unsigned			2023-02-15T03:49:57Z
asset	v0.11.1/tracee.v0.11.1.tar.gz	sha256:f0beb54209a9215f03660400b4a7d2b79a763306c06884e0fdb3cabf67300bd8	unsigned			2023-02-15T03:49:57Z
asset	v0.12.0/checksum.v0.12.0.txt	sha256:16521c96085f46b220599d56ce795470c8036dcf2375174181499a43539ded4e	unsigned			2023-03-03T18:47:33Z
asset	v0.12.0/tracee.v0.12.0.tar.gz	sha256:727fd554df55774de456f27253bd13b44802cdbb426ca472e12f14cf67db5a2a	unsigned			2023-03-03T18:47:33Z
asset	v0.13.0/checksum-aarch64.v0.13.0.txt	sha256:bc0218eee46e3bdb7f8933202a0bac8623efd96966541a97d2dbd2c17a8baa27	unsigned			2023-04-01T05:13:44Z
asset	v0.13.0/checksum-x86_64.v0.13.0.txt	sha256:e0f439186be03aec8241f39bf9422aaf7c73e0c28cbda5285b60b37ac628dfa3	unsigned			2023-04-01T05:13:44Z
asset	v0.13.0/tracee-aarch64.v0.13.0.tar.gz	sha256:824e19d7c37a0f6a988b6398d5ee172c4389280b405a487107c69d30d276ccf6	unsigned			2023-04-01T05:13:44Z
asset	v0.13.0/tracee-x86_64.v0.13.0.tar.gz	sha256:1e8b646e5642d94f3419d2c49a3f1fc329bdb8903a06b737324c82a50288bce2	unsigned			2023-04-01T05:13:44Z
asset	v0.13.1/checksum-aarch64.v0.13.1.txt	sha256:ae27f5ac8db6be89eda2e10d20dbf1ed6a8811fe883bc84fa7d3f7af6b0400d2	unsigned			2023-04-06T19:05:41Z
asset	v0.13.1/checksum-x86_64.v0.13.1.txt	sha256:d46f25d0fca9ab7623dd3e93acac8f78822222f0594237bc8b2b9c9d57b43e4c	unsigned			2023-04-06T19:05:41Z
asset	v0.13.1/tracee-aarch64.v0.13.1.tar.gz	sha256:066ea0955f6cd8b67f49b9c0c88755e758e7f611d7d9710391f7e6a2c8efb9b3	unsigned			2023-04-06T19:05:41Z
asset	v0.13.1/tracee-x86_64.v0.13.1.tar.gz	sha256:600f8e9b3007d9229534a87cef5582e15589bd1cf56ea33c700b501cfb9cb6c6	unsigned			2023-04-06T19:05:41Z
asset	v0.14.0/checksum-aarch64.v0.14.0.txt	sha256:5c76de02798feb25fe4476827be202ae0bf77eb20e4f36abe064262422efc0c4	unsigned			2023-05-03T06:30:52Z
asset	v0.14.0/checksum-x86_64.v0.14.0.txt	sha256:2bb4aafbc648297e670c1597f42cb17aa67ed7cb075ecfda6ada8193ba7c0f03	unsigned			2023-05-03T06:30:52Z
asset	v0.14.0/tracee-aarch64.v0.14.0.tar.gz	sha256:32874eed83e2cf3e6f18ef41e6e184798bf80974d3d5a6a73dc572c26820d0fa	unsigned			2023-05-03T06:30:52Z
asset	v0.14.0/tracee-x86_64.v0.14.0.tar.gz	sha256:87169b8489fe7dafa34ec0a217ecce25d9d682d4f33edf9f7ee19eaeaf51384c	unsigned			2023-05-03T06:30:52Z
asset	v0.14.1/checksum-aarch64.v0.14.1.txt	sha256:d154ca2650cc4e4991cd55e79adf040e13cf628e6226b9a1861720d96f0a206a	unsigned			2023-05-10T04:45:59Z
asset	v0.14.1/checksum-x86_64.v0.14.1.txt	sha256:6c6cf43ab50e0cba49cc9dc0820b2974bbe6d190c68d7bf8c96a3319cfc5c947	unsigned			2023-05-10T04:45:59Z
asset	v0.14.1/tracee-aarch64.v0.14.1.tar.gz	sha256:007715592082c16939311cbe0143b2387d0f8df6c812a98a918329230041cda5	unsigned			2023-05-10T04:45:59Z
asset	v0.14.1/tracee-x86_64.v0.14.1.tar.gz	sha256:33b4dc5364ec0a520d3978b92abd1fd63317c9b12238326da52ef1688a5dbdba	unsigned			2023-05-10T04:45:59Z
asset	v0.14.2/checksum-aarch64.v0.14.2.txt	sha256:5bc6b3d653cf7b6c16e1c089a0658f0f8bdeeb6487a3280bde3085967ed2f32a	unsigned			2023-05-12T22:52:48Z
asset	v0.14.2/checksum-x86_64.v0.14.2.txt	sha256:331eda25c32cf597728d09471abb574aff3d6f351b107aa46d3d07b8d3597a01	unsigned			2023-05-12T22:52:48Z
asset	v0.14.2/tracee-aarch64.v0.14.2.tar.gz	sha256:3cc58154a3a8d8f0738bf60a71c53e5e41a921c29b502bb38d756e6894c4603f	unsigned			2023-05-12T22:52:48Z
asset	v0.14.2/tracee-x86_64.v0.14.2.tar.gz	sha256:1f569e276e4ecf353690156975de3f68e5d970ea130ef4f6d6e3c5f15862e257	unsigned			2023-05-12T22:52:48Z
asset	v0.15.0/checksum-aarch64.v0.15.0.txt	sha256:076a20a34b16af7aa8a0ce573b39dfd165334909965e23364446b3d22266f10f	unsigned			2023-06-07T13:44:14Z
asset	v0.15.0/checksum-x86_64.v0.15.0.txt	sha256:deb28f4d181b76b63595480c7838d26bc053126e45f99abcdfb41d4ecb6e15a8	unsigned			2023-06-07T13:44:14Z
asset	v0.15.0/tracee-aarch64.v0.15.0.tar.gz	sha256:ccd1fc46e8f312e96300bcc75f413bce36dfa2adbec77233318a9bcf6637c0ff	unsigned			2023-06-07T13:44:14Z
asset	v0.15.0/tracee-x86_64.v0.15.0.tar.gz	sha256:1d2b0f63084da30b6455a173b356866e093640a01fc5a94f41bc508e25999da3	unsigned			2023-06-07T13:44:14Z
asset	v0.15.1/checksum-aarch64.v0.15.1.txt	sha256:4efb85ecff2735f6167210720afedccb5efbd8fea6cc26747f18e7826793e164	unsigned			2023-06-13T20:52:23Z
asset	v0.15.1/checksum-x86_64.v0.15.1.txt	sha256:888fbb68648f12a873ea306dfab430df4d6e852215b53d74b0ed77498c3e381d	unsigned			2023-06-13T20:52:23Z
asset	v0.15.1/tracee-aarch64.v0.15.1.tar.gz	sha256:cc6dd8435bf9e78f50ac029dfc0ce54e1933103d9b1a68ec49ee78d1898f4bc4	unsigned			2023-06-13T20:52:23Z
asset	v0.15.1/tracee-x86_64.v0.15.1.tar.gz	sha256:476e3dfed4c1d3de48ec1d8ef74d4695dc5a419da0d97a1d1789c45cb87104ff	unsigned			2023-06-13T20:52:23Z
asset	v0.16.0/checksum-aarch64.v0.16.0.txt	sha256:86723d6c3e21196482fc56c9713bf03f2cfe37130d0ec063cbee7e41c5af62fe	unsigned			2023-07-02T16:25:47Z
asset	v0.16.0/checksum-x86_64.v0.16.0.txt	sha256:0d9498c0048c16bab1ffe492910440db1e9cdc100c2c6ae83980f0ce96bb10d8	unsigned			2023-07-02T16:25:47Z
asset	v0.16.0/tracee-aarch64.v0.16.0.tar.gz	sha256:a8ea98c79cf5c2e4542b9d04e0d14c64800e9dbe40840900081b743bf33577eb	unsigned			2023-07-02T16:25:47Z
asset	v0.16.0/tracee-x86_64.v0.16.0.tar.gz	sha256:56d7afeb5e009e57c668398454e179367f31f2de62f73e634979864635265f6f	unsigned			2023-07-02T16:25:47Z
asset	v0.16.1/checksum-aarch64.v0.16.1.txt	sha256:b4ef21c97b0b7c6f5ad2b82566ba78c554479d35297891675a7c984a307dfe9a	unsigned			2023-07-13T12:21:43Z
asset	v0.16.1/checksum-x86_64.v0.16.1.txt	sha256:204a0da210c12d90ff2b0098a6730271080dc9ca9ae64027b0fa7c27192b9911	unsigned			2023-07-13T12:21:43Z
asset	v0.16.1/tracee-aarch64.v0.16.1.tar.gz	sha256:920ba910887c1dd9ff30aa875c875fcf7c1c949d8a910d04ec12521e3507ea4c	unsigned			2023-07-13T12:21:43Z
asset	v0.16.1/tracee-x86_64.v0.16.1.tar.gz	sha256:95a04fe2901996e547361fb0582b77975fc29a25eaf6535c3c61c2c193dbb139	unsigned			2023-07-13T12:21:43Z
asset	v0.16.2/checksum-aarch64.v0.16.2.txt	sha256:f2e3a0c49551dab742bb70955775dc20c08ea10aceebe62986be1a448c355acf	unsigned			2023-07-20T15:13:56Z
asset	v0.16.2/checksum-x86_64.v0.16.2.txt	sha256:308dc62b2c94083f113ff4e9749f09e60cf83e6213ca41a91ad9808f87bdac04	unsigned			2023-07-20T15:13:56Z
asset	v0.16.2/tracee-aarch64.v0.16.2.tar.gz	sha256:adf8757ed6cc518a6d5f432deb8f64b6bb7e3d7a17799389dd79d29c08443147	unsigned			2023-07-20T15:13:56Z
asset	v0.16.2/tracee-x86_64.v0.16.2.tar.gz	sha256:a4685f46d088d1008cc310ab94013c768362c41110fe7d03a05e472991bc3d4a	unsigned			2023-07-20T15:13:56Z
asset	v0.17.0/checksum-aarch64.v0.17.0.txt	sha256:48da44c018374ec8e5be78c515add2234151b5fbffd86425ff7b68af6b36ed57	unsigned			2023-07-31T21:06:00Z
asset	v0.17.0/checksum-x86_64.v0.17.0.txt	sha256:192dc0d50e01a8b9ec85c34917a02db983e22a3231e368648631fc7a49bbb41a	unsigned			2023-07-31T21:06:00Z
asset	v0.17.0/tracee-aarch64.v0.17.0.tar.gz	sha256:6fccb3fd26eab22205cc7b14f7675be01255adf3e1364288a27c4eaec8c56aef	unsigned			2023-07-31T21:06:00Z
asset	v0.17.0/tracee-x86_64.v0.17.0.tar.gz	sha256:2677256590eaff6deac5c0d52589a6427f6ea3e5a6bf810ee06b546230d19410	unsigned			2023-07-31T21:06:00Z
asset	v0.17.1/checksum-aarch64.v0.17.1.txt	sha256:420e5273ac76fc2ad992e86f7412e5f987bf0386c4822ed8846d78654022e308	unsigned			2023-08-10T22:12:44Z
asset	v0.17.1/checksum-x86_64.v0.17.1.txt	sha256:d119e40fc8f076cc09c36fa01c65a910bf90e25b820785b7fba77c0af0ff120e	unsigned			2023-08-10T22:12:44Z
asset	v0.17.1/tracee-aarch64.v0.17.1.tar.gz	sha256:d478a8b04355414abf779ea318019341bbe397a8ac0a26a517cd04b8b71264c4	unsigned			2023-08-10T22:12:44Z
asset	v0.17.1/tracee-x86_64.v0.17.1.tar.gz	sha256:96017e8f854bf085abcf40642c03b7a818e21202d56d3c9582fd334f124cd19b	unsigned			2023-08-10T22:12:44Z
asset	v0.18.0/checksum-aarch64.v0.18.0.txt	sha256:4beec7418e803eb8384c1f018e27d073b179d2d59765b9bf6ff8e0bc64327ac1	unsigned			2023-10-06T20:50:16Z
asset	v0.18.0/checksum-x86_64.v0.18.0.txt	sha256:f021d465b850b5c63f0b2a3969dc12106f7430a7e52c9f95c8aaeec19bb54705	unsigned			2023-10-06T20:50:16Z
asset	v0.18.0/tracee-aarch64.v0.18.0.tar.gz	sha256:dd37ca9eed9464656e89c9b8a82857d52436149bc2dfac91277ee6dd0a4f105f	unsigned			2023-10-06T20:50:16Z
asset	v0.18.0/tracee-x86_64.v0.18.0.tar.gz	sha256:6d8b912a50d1aa977dd0d8b89abec3d88adf3c4c670babe2e31a423b6754884b	unsigned			2023-10-06T20:50:16Z
asset	v0.18.1/checksum-aarch64.v0.18.1.txt	sha256:c4ef386c73ea1e4674edf822608d2d86aaac2d4dfdeffdc8dedb4403bb18c6e0	unsigned			2023-10-19T04:32:42Z
