type	identifier	digest	signature	sig_method	tlog_timestamp	created_at
release	0.35.0	57a97c7e7821a5776cebc9bb87c984fa69cba8f1	-			2026-03-07T01:26:10Z
release	v0.0.1	1a6fec9b145c9fef6dd2ff0712cedde272febadc	-			2026-03-20T05:54:33Z
release	v0.0.11	f5e208a156392ee19cad188ecb4819501dde005f	-			2026-03-20T06:03:58Z
release	v0.0.12	c6431cf821072224b4ce4357b182721074a8e313	-			2026-03-20T06:04:02Z
release	v0.0.13	e2054f8b6a198eae9abb3562bdb43bdd8cafd24f	-			2026-03-20T06:04:05Z
release	v0.0.14	b38389f8efef9798810fe0c5b5096ac198cffd54	-			2026-03-20T06:04:09Z
release	v0.0.15	341f810bd602419f966a081da3f4debedc3e5c8e	-			2026-03-20T06:04:13Z
release	v0.0.16	9789b6ae3b29487541292242e416cd89e4e54874	-			2026-03-20T06:04:17Z
release	v0.0.17	dba83feec810c70bacbc4bead308ae1e466c572b	-			2026-03-20T06:04:21Z
release	v0.0.18	ac8de07fd168680dd0331bef43681c0e150e9ad1	-			2026-03-20T06:04:25Z
release	v0.0.19	9438b49cc3156b2e8c77c1ba8ffbaa3bae24e3c2	-			2026-03-20T06:04:29Z
release	v0.0.2	1ca910e62d608a16f4c83cb379005547d08649f2	-			2026-03-20T05:55:47Z
release	v0.0.20	8eccb5539730451af599c84f444c6d6cf0fc2bb0	-			2026-03-20T06:04:33Z
release	v0.0.21	d62898dfb3e9cadb919e8119e4a096197174fd64	-			2026-03-20T06:04:37Z
release	v0.0.22	1ccef265f594a7555a720f623a461a3d69b45bf7	-			2026-03-20T06:04:40Z
release	v0.0.3	677942f9f7d701e8afb3431dcf5f71e766a3709e	-			2026-03-20T05:57:15Z
release	v0.0.4	7991a6958332e09736ebd8875b8a6cccd1de8d08	-			2026-03-20T05:57:54Z
release	v0.0.5	248a0c40b93ed90d488b11e12ee54731f7abf7b6	-			2026-03-20T05:58:21Z
release	v0.0.6	e09a3cf5ca098b4d78c9e0379702eaae7a207826	-			2026-03-20T05:59:02Z
release	v0.0.7	f498173417e692845cf32bda7071ce9baa3e109e	-			2026-03-20T05:59:28Z
release	v0.0.8	2b5de510862c22b735aa586acbafe850cfe75148	-			2026-03-20T06:00:21Z
release	v0.0.9	7294c6a40848e986221c11460945f099a67bbe37	-			2026-03-20T06:00:58Z
release	v0.1.0	2a2157eb22c08c9a1fac99263430307b8d1bc7a2	-			2026-03-20T06:04:44Z
release	v0.10.0	e5f43133f6e8736992c9f3c1b3296e24b37e17f2	-			2026-03-20T06:06:05Z
release	v0.11.0	b43daad0c3c96202fc5800b511dfae8e6ecce864	-			2026-03-20T06:06:09Z
release	v0.11.1	0cd397afbfae6b60e8061fda662f3511aa5d054e	-			2026-03-20T06:06:13Z
release	v0.11.2	41f05d9ecffa2ed3f1580af306000f734b733e54	-			2026-03-20T06:06:17Z
release	v0.12.0	fbd16365eb88e12433951383f5e99bd901fc618f	-			2026-03-20T06:06:20Z
release	v0.13.0	b77b85c0254bba6789e787844f0585cde1e56320	-			2026-03-20T06:06:24Z
release	v0.13.1	f78e9ecf42a1271402d4f484518b9313235990e1	-			2026-03-20T06:06:28Z
