type	identifier	digest	signature	sig_method	tlog_timestamp	created_at
image	docker.io/aquasec/trivy-checks:1	sha256:0491169789b867ae5a7353381220c1d4d97b3a0d6d9dfd84a25d06f0ba68aa93	unsigned			-
image	docker.io/aquasec/trivy-checks:1.10	sha256:17be3c97118f3c290b43edc27acc47f0de12aa649b2c310206608ba4a1cd1232	unsigned			-
image	docker.io/aquasec/trivy-checks:1.10.0	sha256:8655f27dd63a3de8f4e1b36b10e07233f99031f7828182a8e8b4cc38d2e18279	unsigned			-
image	docker.io/aquasec/trivy-checks:1.11	sha256:d18d3066421b37000fcb8a89c302e4f6314407d146df1b910e16360521c58a44	unsigned			-
image	docker.io/aquasec/trivy-checks:1.11.1	sha256:b8ca0641a5f4f58cf2d5860c567e4f4a026c7c2cf46f74382b1a0c65c9b2147d	unsigned			-
image	docker.io/aquasec/trivy-checks:1.11.2	sha256:f3ea8227f838a985f0c884909e9d226362f5fc5ab6021310a179fbb24c5b57fd	unsigned			-
image	docker.io/aquasec/trivy-checks:1.11.3	sha256:635949407dfee0378dcccb0d630d5030ab4587ff545182293ddf3fd4fc2b1b2b	unsigned			-
image	docker.io/aquasec/trivy-checks:1.12	sha256:dd23528d718e30aa922d31b020a4fdf671976eab83d32debd5400ae8c0dd0545	unsigned			-
image	docker.io/aquasec/trivy-checks:1.12.0	sha256:358e9144f9dca46afe3960184647c1d7660bc6d2341c1134eb8885b46ee14b5d	unsigned			-
image	docker.io/aquasec/trivy-checks:1.12.1	sha256:1147598745a58a85da9d66f4615cf8b04161e96c1e01af16fd21613d8cca6c85	unsigned			-
image	docker.io/aquasec/trivy-checks:1.3	sha256:76b51cdd2528bcf26f296758b6f2f9fb6b364e0a0d8d0687ddc4b84e8b2c87de	unsigned			-
image	docker.io/aquasec/trivy-checks:1.3.0	sha256:ab991dbbe7df76e1c0a2a3e5d16c3d3572de73104328df218ecb02294aa80333	unsigned			-
image	docker.io/aquasec/trivy-checks:1.3.1	sha256:52ab346d2c92d347fd244c1ebdb694117e660c12c63cb0a5e9fa510d1930678d	unsigned			-
image	docker.io/aquasec/trivy-checks:1.4	sha256:f6901e03f486a48f47aa17a78d89d18e6c31ded82aff83ed19d0d73935a1a059	unsigned			-
image	docker.io/aquasec/trivy-checks:1.4.0	sha256:f6901e03f486a48f47aa17a78d89d18e6c31ded82aff83ed19d0d73935a1a059	unsigned			-
image	docker.io/aquasec/trivy-checks:1.5	sha256:c8182cc2ae594f2123deed245299b74abdd961a9454b0f2ed39db5ec4e85fdf2	unsigned			-
image	docker.io/aquasec/trivy-checks:1.5.3	sha256:c8182cc2ae594f2123deed245299b74abdd961a9454b0f2ed39db5ec4e85fdf2	unsigned			-
image	docker.io/aquasec/trivy-checks:1.6	sha256:20d91f4da9b08d45c54a2ae95c590b918bec7c36cabefd25fa6e3b29e27114fc	unsigned			-
image	docker.io/aquasec/trivy-checks:1.6.0	sha256:d9b8173acefb313f72e37c100f206f71fec1fc43a33e32480491216dff8c6545	unsigned			-
image	docker.io/aquasec/trivy-checks:1.6.1	sha256:0073dfe8d3be4c04606f34b65ad7dfe0691eb81643927ade9dba9442b1a50c08	unsigned			-
image	docker.io/aquasec/trivy-checks:1.7	sha256:9f0e5af55814db7a35621d3d7ba2677dd38fc6adc65e60a2a72e3445ad4ad525	unsigned			-
image	docker.io/aquasec/trivy-checks:1.7.1	sha256:2265149fd1ac2c6e8e1c20b31e48af7cf88ed59e973de063260cba77186addd8	unsigned			-
image	docker.io/aquasec/trivy-checks:1.8	sha256:31e34f60963e18248e35b4ff73fa0a39727e8bb472e492eb94d700176695126f	unsigned			-
image	docker.io/aquasec/trivy-checks:1.8.0	sha256:03b3872e3b6de4e8f162e9fc8e920433294be7bf0399cb546e5f5b6effe7caa0	unsigned			-
image	docker.io/aquasec/trivy-checks:1.8.1	sha256:31e34f60963e18248e35b4ff73fa0a39727e8bb472e492eb94d700176695126f	unsigned			-
image	docker.io/aquasec/trivy-checks:1.9	sha256:35455eb2175f0efb3c98d05bbe77afefaa8be8d9aafd02fac6575466f3a1fa61	unsigned			-
image	docker.io/aquasec/trivy-checks:1.9.0	sha256:35455eb2175f0efb3c98d05bbe77afefaa8be8d9aafd02fac6575466f3a1fa61	unsigned			-
image	docker.io/aquasec/trivy-checks:2	sha256:1583562f8b90ed2a071b99f0e5ffff6b57e4ceb6ca3e4796577b4e6a339eb74c	unsigned			-
image	docker.io/aquasec/trivy-checks:2.0	sha256:450a16170937327dd546e6973cdb4a0e82e40291f6317a6a678324da32a56b8a	unsigned			-
image	docker.io/aquasec/trivy-checks:2.0.0	sha256:d4495529ff5060f299508211184ff1de1a5fa360028d1e34e4f5c695b5eb9f46	unsigned			-
image	docker.io/aquasec/trivy-checks:2.1	sha256:0c8f41204ecb73b70cad38e7c23d41c8555ea3ff84cbbad01cc8d4476882f0d5	unsigned			-
image	docker.io/aquasec/trivy-checks:2.1.0	sha256:6244a6d37bb9984419d8a2d3710f91b7c73ba6242bcbb20252fe3dfb92e1b6b4	unsigned			-
image	docker.io/aquasec/trivy-checks:2.1.1	sha256:b6a1d1e9b1f5dbe1b68994d2f9e91fb71d06f76bdfe3ebc6949a1efdf2c003cf	unsigned			-
image	docker.io/aquasec/trivy-checks:2.2	sha256:5e210211daa6afabf89575865bd954c55b4bee604e8400c682e077cd7827e365	unsigned			-
image	docker.io/aquasec/trivy-checks:2.2.0	sha256:b4a7e239039f2ed756c2e88f2d2f95f80658aed99545e637db3ce6133051fb87	unsigned			-
image	docker.io/aquasec/trivy-checks:latest	sha256:d5dc013142848999d17187de5f9ae224372f0d3d1f19db63c624b8a1e8f398da	unsigned			-
image	docker.io/aquasec/trivy-checks:nightly	sha256:9b35ce183a5ff65e1bfe640727e59401ccba97b8a7ebfcccecef5bf22afb4bef	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:0	sha256:ef2d9ad4fce0f933b20a662004d7e55bf200987c180e7f2cd531af631f408bb3	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:0.10	sha256:6d0771effa53c6cf8130861fc3ac28f5515c35a028edb4bb1e67261b9218c80e	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:0.10.1	sha256:ac53a0a574cf2883cb91e66c6505fad42d4c58776688709cb9d77a645adf6d90	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:0.10.2	sha256:74611ab2ee1f0ad636617d25620c3ee03d4f8b5dcf3e0393f52bd7ff92eafeca	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:0.10.3	sha256:213b8711d5529e53cb4a0fb6875fc7ef3c72ada19f239da2a48b1b44a7cce7f6	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:0.10.4	sha256:6d0771effa53c6cf8130861fc3ac28f5515c35a028edb4bb1e67261b9218c80e	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:0.11	sha256:274208f3b043e73d2f1e5d9baed30d77c33bb164b8f2e580020e9c5931c71df4	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:0.11.0	sha256:274208f3b043e73d2f1e5d9baed30d77c33bb164b8f2e580020e9c5931c71df4	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:0.12	sha256:cfb65621a1f55d9d099c4c28931b252716fcda8bba5081eb43f1001668e79d85	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:0.12.0	sha256:cfb65621a1f55d9d099c4c28931b252716fcda8bba5081eb43f1001668e79d85	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:0.13	sha256:4becd22ecea6ee5faf3ea0a8fab9d5cfbb8700e9505b338c960b3597f5fcad19	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:0.13.0	sha256:663176bfe8c9b1dbeb3d645395d6673bc238f770ec8332f75b25a1bbd1907394	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:1	sha256:a55ef4122a1683407bb0f85cbfa95b5b4622376292463b908f71230ae1534b02	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:1.0	sha256:d135a270127311dad0790b337cd546a4321bb3b540cb42dec24c98644d526b69	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:1.0.1	sha256:d135a270127311dad0790b337cd546a4321bb3b540cb42dec24c98644d526b69	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:1.1	sha256:24c72d498ccb3068889e943dc5e3010c871e93aae9f03ca13d84d707216c5f5b	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:1.1.0	sha256:daa619271b7768ac970a10f7b9d2d2fdd1c890e084929efce4f72590187b2543	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:1.10	sha256:3ffe9cf59d7041b65a4e9b69369f772b630da66dfab5ba768c068008ec6f3420	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:1.10.0	sha256:9d5943b8097aa508114b4f153dfbb89622f2f66db409054c19fefcef41c244f5	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:1.11	sha256:a3c58790e841c854831fe7e133f10dba7aab02f7a19051accb2d6a0949c2e0c8	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:1.11.1	sha256:bf1d09c69083c7f3bb5934b5e375fc351ed7ce20cae69e8b29b2e18aa9e325a0	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:1.11.2	sha256:1ef956729eb64b3c9dea454fda1871708e8ea79fd7b5e14bf4fd55be8f0cd95a	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:1.11.3	sha256:c4cf90b3664169c9b65057b65ff169398b7978c06a17ed468627406e3b835758	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:1.12	sha256:a8fbb66c03f9031cfb5525ff374908e8d08aa838a4e534d03c1275e811a5382b	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:1.12.0	sha256:fe34f0a8ef043933638ea67c28ac12ab15ce4a30fedbf2ace156a444cedb196d	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:1.12.1	sha256:a8fbb66c03f9031cfb5525ff374908e8d08aa838a4e534d03c1275e811a5382b	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:1.2	sha256:c1bae4ac973f83af72a04a7f7b8dd8d9d136ce85ec5368885d71fd88f0ddc1e6	unsigned			-
image	ghcr.io/aquasecurity/trivy-checks:1.2.1	sha256:c590aff1f55a4630b4c0b9ddf8744bc1e3a49d9bfa9e021fce2a77db77d225fa	unsigned			-
