type	identifier	digest	signature	sig_method	tlog_timestamp	created_at
asset	v0.0.1/checksums.txt	sha256:972eae8bef39bd6016e5f561300eeb5de3c320be581e14913f7ce85a7cc7f8cd	unsigned			2022-05-11T14:33:42Z
asset	v0.0.1/trivy-operator_linux_ARM.tar.gz	sha256:9333b22e7d9be8147ee9cc2852922f11dd08403e71a4e10882b22010ff5c4405	unsigned			2022-05-11T14:33:42Z
asset	v0.0.1/trivy-operator_linux_ARM64.tar.gz	sha256:3183db412699a4b07c45356aa660135e87a72ed027af71cf6b0e4121b9aea946	unsigned			2022-05-11T14:33:42Z
asset	v0.0.1/trivy-operator_linux_ppc64le.tar.gz	sha256:9d53a445b1675c6e049fa8984c6846a3969268bfd4348ac926f158eb928cc249	unsigned			2022-05-11T14:33:42Z
asset	v0.0.1/trivy-operator_linux_s390x.tar.gz	sha256:b19204036d2f6cf4084b0b2ae4efc43bc319ae06bbae50d3095d0978feb6469b	unsigned			2022-05-11T14:33:42Z
asset	v0.0.1/trivy-operator_linux_x86_64.tar.gz	sha256:660018a12f402551d4aff15c339b349dcea363c44a7c09543af5a4e3d3b8f75f	unsigned			2022-05-11T14:33:42Z
asset	v0.0.2/checksums.txt	sha256:a413b0217720f2374cd686e31fad64dc815e0dad79607d9565446b68404c5ff8	unsigned			2022-05-14T12:17:20Z
asset	v0.0.2/trivy-operator_linux_ARM.tar.gz	sha256:49a82c1ae902d7d99285b328e8f006c6a5a3a6ba99e81de994e4a02eb51585aa	unsigned			2022-05-14T12:17:20Z
asset	v0.0.2/trivy-operator_linux_ARM64.tar.gz	sha256:ad79cf8bcb6b9fcd4b11d1f327c6bb3f420757f92a8b94a82311edd18f63aded	unsigned			2022-05-14T12:17:20Z
asset	v0.0.2/trivy-operator_linux_ppc64le.tar.gz	sha256:c196a5e5ef965d4ca27376f9e193e435dfe9edfb6edaf804a388696b6ffaff83	unsigned			2022-05-14T12:17:20Z
asset	v0.0.2/trivy-operator_linux_s390x.tar.gz	sha256:9bc540b1865128af3ec577c177a219b57e3380225138119a4b67ce7ab26bb664	unsigned			2022-05-14T12:17:20Z
asset	v0.0.2/trivy-operator_linux_x86_64.tar.gz	sha256:d276b990436b359b34b863c79835861aa21e43becbcac63f22780b97007c9c66	unsigned			2022-05-14T12:17:20Z
asset	v0.0.3/checksums.txt	sha256:7a60c6e5f6f25fc6fbaaade04868c1c0167f394273d2dc521022639b7608de8a	unsigned			2022-05-14T13:34:17Z
asset	v0.0.3/trivy-operator_linux_ARM.tar.gz	sha256:5d7bde67be651fbd3f65bbc44e63a02e26d6e4221ba866710890b8d7a3a4fb5a	unsigned			2022-05-14T13:34:17Z
asset	v0.0.3/trivy-operator_linux_ARM64.tar.gz	sha256:d7e6a4f486628188503fcd412db1b3d2e92716e2fa5816853d7cd026ee83ff2a	unsigned			2022-05-14T13:34:17Z
asset	v0.0.3/trivy-operator_linux_ppc64le.tar.gz	sha256:359d8d4954cf5e6b0b93bfd8432c4e9edaf2fa7c1996bfd8f0a4a46c1dfbcabf	unsigned			2022-05-14T13:34:17Z
