type	identifier	digest	signature	sig_method	tlog_timestamp	created_at
asset	v0.0.1/trivy_0.0.1_FreeBSD-32bit.tar.gz	sha256:c068337d16daac9cd7b993d118c45c6b30ca2ddf3f2923bcf7169b656da6e3c5	unsigned	-		2019-05-07T06:52:24Z
asset	v0.0.1/trivy_0.0.1_FreeBSD-64bit.tar.gz	sha256:37db60632af4e8033b4d8613e77e4c4833e081be2ba979754f0e02568d629ae5	unsigned	-		2019-05-07T06:52:24Z
asset	v0.0.1/trivy_0.0.1_FreeBSD-ARM.tar.gz	sha256:43cbf947e240dbe8ce2205710738f4aed3adba3314ae52b18a405511008871ce	unsigned	-		2019-05-07T06:52:24Z
asset	v0.0.1/trivy_0.0.1_Linux-32bit.deb	sha256:f4969c662b3dab25d6628ab67593fd01910715b216b895d0b6519b94660364f4	unsigned	-		2019-05-07T06:52:24Z
asset	v0.0.1/trivy_0.0.1_Linux-32bit.rpm	sha256:723d31c8ddf4840871d9d20d66162bd24ac221909a5c621d4c68c2317d11987b	unsigned	-		2019-05-07T06:52:24Z
asset	v0.0.1/trivy_0.0.1_Linux-32bit.tar.gz	sha256:27ef6df85006b12bb2cfbcd91a9a147cfca4a64a04efb4ce64b3a8114af20cc3	unsigned	-		2019-05-07T06:52:24Z
asset	v0.0.1/trivy_0.0.1_Linux-64bit.deb	sha256:b3500218a19a765ce7be57373a501336e65920ea1c9ee3b6e2cb9a0dfbd3d15c	unsigned	-		2019-05-07T06:52:24Z
asset	v0.0.1/trivy_0.0.1_Linux-64bit.rpm	sha256:45d2932f37d2f861805c310c76bb3577a07a4638b25926a971d7de6b0a347bb6	unsigned	-		2019-05-07T06:52:24Z
asset	v0.0.1/trivy_0.0.1_Linux-64bit.tar.gz	sha256:7433726da89ec1e8abb74de9b56148df92b9c85f94cfb39c21f1ba329fb51465	unsigned	-		2019-05-07T06:52:24Z
asset	v0.0.1/trivy_0.0.1_Linux-ARM.deb	sha256:0d4ff3aa41b56ac738944b57f4c80ea3a78cf6b218dc5ab0307fd6043aa05198	unsigned	-		2019-05-07T06:52:24Z
asset	v0.0.1/trivy_0.0.1_Linux-ARM.rpm	sha256:0ded249c77e98659196b371673ef222d7ecd7c7f1934dd53d91a7f8ca7378aa5	unsigned	-		2019-05-07T06:52:24Z
asset	v0.0.1/trivy_0.0.1_Linux-ARM.tar.gz	sha256:4eee27659c30903049df760738a1ac544cbeac19783e75860b7a204489a05530	unsigned	-		2019-05-07T06:52:24Z
asset	v0.0.1/trivy_0.0.1_Linux-ARM64.deb	sha256:d93e8d830806fe4a4b146065ff3fea14db9300f02f74fee87ba58c2b3faf1b98	unsigned	-		2019-05-07T06:52:24Z
asset	v0.0.1/trivy_0.0.1_Linux-ARM64.rpm	sha256:f2e2fe353cf0648c37e37cb0d0f1151d5610d0a667aab7546c659019a4750908	unsigned	-		2019-05-07T06:52:24Z
asset	v0.0.1/trivy_0.0.1_Linux-ARM64.tar.gz	sha256:1bef8a4e19de0436b0feb0ca191c42f33fcab0a2f86afbbec80cc1bb8402eeaf	unsigned	-		2019-05-07T06:52:24Z
asset	v0.0.1/trivy_0.0.1_OpenBSD-32bit.tar.gz	sha256:1c5bfe7e3916fe9a483f9b304a9e36863deb8e86b6006e10d6f95218e4dd4c39	unsigned	-		2019-05-07T06:52:24Z
asset	v0.0.1/trivy_0.0.1_OpenBSD-64bit.tar.gz	sha256:fcac9c4be4c44521a777c86a6b46365cf556c1a124fd589a59f59e5f920751a6	unsigned	-		2019-05-07T06:52:24Z
asset	v0.0.1/trivy_0.0.1_OpenBSD-ARM.tar.gz	sha256:4d2c7447fea3d37f3dae75802d00f4afa9897a1523b7988221bb58f3b28ae806	unsigned	-		2019-05-07T06:52:24Z
asset	v0.0.1/trivy_0.0.1_Windows-32bit.zip	sha256:ff8a6d71109124b236cf8341caad6d6f6df450aec02ebdd06d730af7c60a8ff4	unsigned	-		2019-05-07T06:52:24Z
asset	v0.0.1/trivy_0.0.1_Windows-64bit.zip	sha256:4367d68a98df481a82907d03cde94237af888ef6c1581dda24b88d990fbae252	unsigned	-		2019-05-07T06:52:24Z
asset	v0.0.1/trivy_0.0.1_checksums.txt	sha256:d2ada3a5c62ba664d2bbc4a4ad17406961598b54fc45495a01f600b6b84ae5ec	unsigned	-		2019-05-07T06:52:24Z
asset	v0.0.1/trivy_0.0.1_macOS-32bit.tar.gz	sha256:d1c4c66e06529439d0fb29483237f2c31bf431900693a839c78371c0b3d626ac	unsigned	-		2019-05-07T06:52:24Z
asset	v0.0.1/trivy_0.0.1_macOS-64bit.tar.gz	sha256:738716d656415a7c3f8fb686c34aabf2a234b48586e84a33ad07aa7f6b71c992	unsigned	-		2019-05-07T06:52:24Z
asset	v0.0.10/trivy_0.0.10_FreeBSD-32bit.tar.gz	sha256:5c6e967b962172e3fcd632cf14f3a2230f790f5a32bdd2ab8ab8b6abbb40031a	unsigned	-		2019-05-12T19:15:15Z
asset	v0.0.10/trivy_0.0.10_FreeBSD-64bit.tar.gz	sha256:7c01289819847c968dc6f2a0415cdd0f5ac1bb52d4f10decc77afe1f73e02699	unsigned	-		2019-05-12T19:15:15Z
